Year,Quarter,iPad,iPhone,Mac,Other Products,Services
2015,1,8985,51182,6944,2689,4799
2015,2,5428,40282,5615,1689,4996
2015,3,4538,31368,6030,2641,5028
2015,4,4276,32209,6882,3048,5086
2016,1,7084,51635,6746,4351,6056
2016,2,4413,32857,5107,2189,5991
2016,3,4876,24048,5239,2219,5976
2016,4,4255,28160,5739,2373,6325
2017,1,5533,54378,7244,4024,7172
2017,2,3889,33249,5844,2873,7041
2017,3,4969,24846,5592,2735,7266
2017,4,4831,28846,7170,3231,8501
2018,1,5862,61576,6895,5489,8471
2018,2,4113,38032,5848,3954,9190
2018,3,4741,29906,5330,3740,9548
2018,4,4089,37185,7411,4234,9981
2019,1,6729,51982,7416,7308,10875
2019,2,4872,31051,5513,5129,11450
2019,3,5023,25986,5820,5525,11455
2019,4,4656,33362,6991,6520,12511
2020,1,5977,55957,7160,10010,12715
2020,2,4368,28962,5351,6284,13348
2020,3,6582,26418,7079,6450,13156
2020,4,6797,26444,9032,7876,14549
2021,1,8435,65597,8675,12971,15761
2021,2,7807,47938,9102,7836,16901
